X, Y, Z, Thresh, Prec, Max, Min, Total Steps 
192, 49, 97, 95, 52, 511, -321, 8
194, 93, 67, 95, 52, 511, -321, 8
193, 116, 69, 95, 52, 511, -321, 8
172, 112, 118, 95, 52, 511, -321, 8
129, 95, 204, 95, 52, 511, -321, 8
56, 67, 322, 95, 52, 511, -321, 8
-34, 28, 417, 95, 52, 511, -321, 8
-122, -31, 477, 95, 52, 511, -321, 8
-202, -105, 511, 95, 52, 511, -321, 8
-269, -165, 511, 95, 52, 511, -321, 8
-311, -176, 511, 95, 52, 511, -321, 8
-333, -128, 505, 95, 52, 511, -321, 8
-317, -77, 483, 95, 52, 511, -321, 8
-262, -88, 425, 95, 52, 511, -321, 8
-194, -149, 319, 95, 52, 511, -321, 8
-133, -204, 192, 95, 52, 511, -321, 8
-99, -213, 66, 95, 52, 511, -321, 8
-92, -155, -35, 95, 52, 511, -321, 8
-96, -70, -97, 95, 52, 511, -321, 8
-101, -11, -146, 95, 52, 511, -321, 8
-101, 26, -192, 95, 52, 511, -321, 8
-98, 48, -239, 95, 52, 511, -321, 8
-107, 64, -288, 95, 52, 511, -321, 8
-126, 72, -321, 95, 52, 511, -321, 8
-157, 75, -318, 95, 52, 511, -321, 8
-202, 81, -278, 95, 52, 511, -321, 8
-251, 65, -214, 95, 52, 511, -321, 8
-309, -6, -72, 95, 52, 511, -321, 8
-373, -35, 118, 95, 52, 511, -321, 8
-403, -15, 284, 95, 52, 511, -321, 8
-407, 8, 438, 95, 52, 511, -321, 8
-372, 81, 511, 95, 52, 511, -321, 8
-285, 109, 511, 95, 52, 511, -321, 8
-207, 75, 472, 95, 52, 511, -321, 8
-123, 69, 416, 95, 52, 511, -321, 8
-59, 83, 337, 95, 52, 511, -321, 8
-25, 93, 242, 95, 52, 511, -321, 8
5, 101, 168, 95, 52, 511, -321, 8
29, 92, 101, 95, 52, 511, -321, 8
58, 61, 53, 95, 52, 511, -321, 8
89, 34, 15, 95, 52, 511, -321, 8
117, 17, -5, 95, 52, 511, -321, 8
142, 12, -9, 95, 52, 511, -321, 8
167, 18, 2, 95, 52, 511, -321, 8
194, 32, 32, 95, 52, 511, -321, 8
221, 54, 87, 95, 52, 511, -321, 8
243, 75, 195, 95, 52, 511, -321, 8
249, 86, 312, 95, 52, 511, -321, 8
257, 93, 201, 95, 52, 511, -321, 8
262, 108, 438, 95, 52, 511, -321, 8
234, 85, 511, 95, 52, 511, -321, 8
-309, -60, 511, 133, 47, 511, -245, 18
-446, -75, 511, 133, 47, 511, -245, 18
-473, -91, 440, 133, 47, 511, -245, 18
-418, -96, 335, 133, 47, 511, -245, 18
-332, -100, 229, 133, 47, 511, -245, 18
-237, -93, 116, 133, 47, 511, -245, 18
-166, -79, 63, 133, 47, 511, -245, 18
-126, -63, 36, 133, 47, 511, -245, 18
-107, -50, -2, 133, 47, 511, -245, 18
-103, -33, -46, 133, 47, 511, -245, 18
-110, -17, -89, 133, 47, 511, -245, 18
-124, -7, -128, 133, 47, 511, -245, 18
-137, -12, -163, 133, 47, 511, -245, 18
-149, -34, -193, 133, 47, 511, -245, 18
-159, -67, -222, 133, 47, 511, -245, 18
-161, -102, -245, 133, 47, 511, -245, 18
-169, -115, -226, 133, 47, 511, -245, 18
-192, -96, -143, 133, 47, 511, -245, 18
-248, -41, 53, 133, 47, 511, -245, 18
-315, 29, 247, 133, 47, 511, -245, 18
-341, 92, 407, 133, 47, 511, -245, 18
-323, 142, 511, 133, 47, 511, -245, 18
-240, 169, 511, 133, 47, 511, -245, 18
-123, 184, 495, 133, 47, 511, -245, 18
-41, 169, 446, 133, 47, 511, -245, 18
15, 158, 387, 133, 47, 511, -245, 18
60, 158, 316, 133, 47, 511, -245, 18
72, 140, 240, 133, 47, 511, -245, 18
87, 139, 182, 133, 47, 511, -245, 18
98, 131, 115, 133, 47, 511, -245, 18
85, 114, 45, 133, 47, 511, -245, 18
87, 118, 1, 133, 47, 511, -245, 18
98, 125, -20, 133, 47, 511, -245, 18
128, 113, -12, 133, 47, 511, -245, 18
159, 72, 18, 133, 47, 511, -245, 18
160, 29, 62, 133, 47, 511, -245, 18
131, 3, 131, 133, 47, 511, -245, 18
74, 13, 230, 133, 47, 511, -245, 18
29, 54, 340, 133, 47, 511, -245, 18
3, 86, 432, 133, 47, 511, -245, 18
-41, 83, 491, 133, 47, 511, -245, 18
-106, 32, 511, 133, 47, 511, -245, 18
-189, -28, 511, 133, 47, 511, -245, 18
-249, -80, 487, 133, 47, 511, -245, 18
-251, -113, 413, 133, 47, 511, -245, 18
-206, -107, 312, 133, 47, 511, -245, 18
-146, -89, 197, 133, 47, 511, -245, 18
-102, -66, 99, 133, 47, 511, -245, 18
-78, -42, 44, 133, 47, 511, -245, 18
-67, -34, 10, 133, 47, 511, -245, 18
-66, -44, -16, 133, 47, 511, -245, 18
-75, -64, -36, 133, 47, 511, -245, 18
-85, -89, -47, 133, 47, 511, -245, 18
-92, -107, -60, 133, 47, 511, -245, 18
-100, -105, -82, 133, 47, 511, -245, 18
-108, -94, -113, 133, 47, 511, -245, 18
-115, -80, -131, 133, 47, 511, -245, 18
-132, -57, -117, 133, 47, 511, -245, 18
-152, -30, -57, 133, 47, 511, -245, 18
-163, 2, 48, 133, 47, 511, -245, 18
-200, 36, 205, 133, 47, 511, -245, 18
-237, 61, 340, 133, 47, 511, -245, 18
-259, 91, 443, 133, 47, 511, -245, 18
-272, 152, 511, 133, 47, 511, -245, 18
-240, 213, 511, 133, 47, 511, -245, 18
-166, 252, 483, 133, 47, 511, -245, 18
-85, 256, 426, 133, 47, 511, -245, 18
16, 225, 340, 133, 47, 511, -245, 18
88, 186, 231, 133, 47, 511, -245, 18
114, 151, 136, 133, 47, 511, -245, 18
123, 119, 69, 133, 47, 511, -245, 18
107, 78, 29, 133, 47, 511, -245, 18
103, 39, 6, 133, 47, 511, -245, 18
116, 16, -6, 133, 47, 511, -245, 18
137, 0, -16, 133, 47, 511, -245, 18
150, -17, -8, 133, 47, 511, -245, 18
160, -35, 42, 133, 47, 511, -245, 18
179, -55, 138, 133, 47, 511, -245, 18
216, -99, 273, 133, 47, 511, -245, 18
238, -189, 391, 133, 47, 511, -245, 18
202, -273, 473, 133, 47, 511, -245, 18
105, -322, 511, 133, 47, 511, -245, 18
-42, -316, 511, 133, 47, 511, -245, 18
-183, -246, 480, 133, 47, 511, -245, 18
-259, -169, 401, 133, 47, 511, -245, 18
-278, -115, 289, 133, 47, 511, -245, 18
-252, -82, 162, 133, 47, 511, -245, 18
-204, -59, 62, 133, 47, 511, -245, 18
-158, -40, 6, 133, 47, 511, -245, 18
-125, -33, -20, 133, 47, 511, -245, 18
-112, -42, -33, 133, 47, 511, -245, 18
-121, -59, -45, 133, 47, 511, -245, 18
-134, -78, -54, 133, 47, 511, -245, 18
-142, -84, -59, 133, 47, 511, -245, 18
-147, -72, -65, 133, 47, 511, -245, 18
-147, -46, -74, 133, 47, 511, -245, 18
-156, -24, -80, 133, 47, 511, -245, 18
-175, -15, -72, 133, 47, 511, -245, 18
-197, -10, -38, 133, 47, 511, -245, 18
-237, -3, 51, 133, 47, 511, -245, 18
-256, 9, 174, 133, 47, 511, -245, 18
-256, 27, 310, 133, 47, 511, -245, 18
-257, 22, 422, 133, 47, 511, -245, 18
-234, 1, 484, 133, 47, 511, -245, 18
-190, -10, 511, 133, 47, 511, -245, 18
-128, -6, 486, 133, 47, 511, -245, 18
-50, 20, 416, 133, 47, 511, -245, 18
27, 60, 330, 133, 47, 511, -245, 18
75, 89, 235, 133, 47, 511, -245, 18
92, 94, 150, 133, 47, 511, -245, 18
99, 85, 102, 133, 47, 511, -245, 18
104, 63, 65, 133, 47, 511, -245, 18
113, 31, 37, 133, 47, 511, -245, 18
127, 8, 26, 133, 47, 511, -245, 18
140, 1, 29, 133, 47, 511, -245, 18
152, 10, 51, 133, 47, 511, -245, 18
154, 30, 98, 133, 47, 511, -245, 18
147, 46, 170, 133, 47, 511, -245, 18
136, 48, 269, 133, 47, 511, -245, 18
121, 45, 370, 133, 47, 511, -245, 18
110, 29, 446, 133, 47, 511, -245, 18
78, 1, 495, 133, 47, 511, -245, 18
10, -40, 511, 133, 47, 511, -245, 18
-79, -108, 511, 133, 47, 511, -245, 18
-169, -167, 511, 133, 47, 511, -245, 18
-226, -204, 461, 133, 47, 511, -245, 18
-233, -211, 358, 133, 47, 511, -245, 18
-202, -175, 227, 133, 47, 511, -245, 18
-158, -125, 85, 133, 47, 511, -245, 18
-117, -79, -8, 133, 47, 511, -245, 18
-93, -44, -51, 133, 47, 511, -245, 18
