X,Y,Z
-238,-64,253
-199,-47,190
-144,-13,143
-116,4,128
-90,1,128
-72,-20,118
-64,-41,99
-62,-48,61
-63,-35,12
-58,-6,-23
-72,7,-127
-88,5,-177
-106,-33,-159
-104,-46,-110
-155,-23,-126
-255,-19,-68
-402,-26,107
-512,-30,437
-512,-38,511
-348,-57,511
-201,-26,511
-116,46,511
-44,113,447
-6,106,393
13,76,321
45,63,259
67,46,222
83,15,192
96,-6,160
109,-7,134
113,3,124
117,17,111
116,9,106
110,-8,123
90,-33,155
61,-44,212
37,-73,254
-1,-117,331
-154,-102,474
-322,-59,511
-378,-47,511
-334,-74,511
-265,-83,455
-196,-62,309
-144,-31,226
-106,-16,196
-94,-12,182
-84,-4,150
-84,-13,96
-89,-13,28
-77,-18,-28
-368,-185,511
-343,-96,511
-270,-2,511
-191,57,468
-121,81,340
-66,95,282
-51,34,230
3,-12,188
65,2,137
80,-8,75
108,-12,55
129,-15,83
133,-23,129
146,-39,137
151,-47,159
126,-44,220
85,-26,282
42,-27,337
-12,-73,468
-118,-110,511
-233,-88,511
-284,-70,511
-286,-65,486
-277,-64,355
-238,-64,253
-199,-47,190
-144,-13,143
-116,4,128
-90,1,128
-72,-20,118
-64,-41,99
-62,-48,61
-63,-35,12
-58,-6,-23
-72,7,-127
-88,5,-177
-106,-33,-159
-104,-46,-110
-155,-23,-126
-255,-19,-68
-402,-26,107
-512,-30,437
-512,-38,511
-348,-57,511
-201,-26,511
-116,46,511
-44,113,447
-6,106,393
13,76,321
45,63,259
67,46,222
83,15,192
96,-6,160
109,-7,134
113,3,124
117,17,111
116,9,106
110,-8,123
90,-33,155
61,-44,212
37,-73,254
-1,-117,331
-154,-102,474
-322,-59,511
-378,-47,511
-334,-74,511
-265,-83,455
-196,-62,309
-144,-31,226
-106,-16,196
-94,-12,182
-84,-4,150
-84,-13,96
-89,-13,28
-77,-18,-28
-52,-13,-90
-45,1,-157
-55,3,-206
-64,-10,-212
-79,-31,-190
-82,-26,-174
-109,15,-193
-186,9,-151
-315,7,127
-479,-18,511
-486,-104,511
-360,-89,511
-239,18,511
-117,77,511
-48,120,291
-16,147,191
12,92,170
22,34,154
60,0,126
93,-4,108
106,-20,90
129,-23,84
129,-27,101
146,-42,91
157,-60,110
138,-73,157
90,-63,238
67,-54,288
35,-85,312
-54,-173,454
-303,-195,511
-470,-137,511
-492,-124,511
-439,-114,511
-348,-97,307
-253,-63,147
-171,-43,83
-135,-34,64
-107,-19,53
-88,0,45
-85,14,57
