X,Y,Z
-50,41,445
-65,49,433
-111,120,400
-98,160,282
-79,159,157
-66,145,67
-56,114,62
-67,81,162
-45,88,211
7,98,177
40,94,146
55,109,164
87,104,188
130,83,210
158,39,239
129,13,286
98,35,315
105,45,319
110,28,319
61,-16,441
-19,15,511
-113,56,511
-206,53,511
-240,11,511
-206,-33,436
-160,-55,306
-107,-60,207
-66,-52,146
-41,-59,105
-34,-63,80
-35,-56,63
-36,-38,48
-39,-22,30
-61,-11,19
-75,6,-5
-89,9,-31
-115,5,-51
-145,19,-13
-220,45,48
-262,86,141
-226,92,233
-184,61,278
-174,56,422
-180,71,511
-115,85,511
-50,77,476
-4,76,329
31,75,250
53,62,235
62,48,244
38,60,269
42,104,200
83,130,58
93,73,-14
125,96,-30
138,116,3
131,110,88
136,71,172
133,4,227
146,-34,275
210,-24,369
247,-40,426
222,-66,452
155,-31,511
17,-10,511
-71,17,511
-126,19,511
-147,9,437
-125,-12,311
-109,-9,231
-112,-19,167
-104,-35,117
-87,-50,72
-93,-60,31
-77,-38,16
-47,-5,23
-10,19,12
-17,32,-24
-74,42,-31
-103,49,-20
-123,26,46
-150,15,137
-177,16,218
-132,47,321
-74,59,404
-76,-3,511
-37,-32,511
59,9,496
123,51,356
135,83,271
119,103,202
74,100,142
26,72,109
17,62,103
48,40,86
72,12,99
93,0,124
140,6,145
188,11,128
270,7,153
245,-42,203
180,-50,331
191,-24,324
197,-21,309
169,-67,365
68,-77,472
-60,-52,511
-134,-33,511
-171,18,511
-155,54,436
-109,72,329
-65,57,240
-43,30,180
-44,17,153
-44,17,138
-42,11,101
-45,6,65
-50,4,43
-55,10,24
-55,51,-1
-47,84,-70
-101,86,-142
-180,69,-115
-226,81,-55
-247,79,128
-266,3,510
-266,-115,511
-231,-146,511
-128,-105,511
-56,-41,500
-9,14,283
0,73,141
3,74,80
14,91,81
8,90,92
16,72,107
56,33,88
69,2,60
42,32,69
59,110,137
98,124,103
155,58,83
208,-37,207
203,-121,345
190,-118,408
216,-56,453
178,-46,511
73,-81,511
-35,-52,511
-106,-38,511
-158,-25,511
-169,-24,422
-147,-15,262
-117,-13,168
-96,-16,132
-70,-27,109
-74,-39,96
-76,-51,72
-92,-55,37
-108,-43,2
-111,-23,-28
-113,-1,-67
-128,24,-125
-144,32,-168
-147,4,-164
-151,-46,-106
-163,-65,4
-252,-13,133
-308,56,389
-243,99,511
-207,11,511
-157,-34,511
-40,46,511
15,126,375
