X,Y,Z
-18,49,38
15,34,38
46,27,35
68,34,30
85,50,26
102,67,27
110,66,31
94,61,36
94,60,39
77,59,47
75,50,56
67,49,64
62,50,68
54,52,76
45,57,83
25,53,89
6,50,96
-10,43,96
-29,37,101
-28,33,104
-68,29,103
-110,28,98
-114,30,106
-95,36,123
-66,42,135
-53,-19,110
-66,29,121
-76,27,85
-73,13,60
-61,1,42
-36,-7,30
-7,-11,27
28,-11,33
54,-2,38
78,4,39
96,8,40
104,15,44
97,21,49
81,19,45
76,7,59
65,-3,75
60,0,79
55,4,59
42,1,43
27,-8,47
4,-7,52
-12,0,51
-23,2,37
-24,-2,29
-28,-7,27
-23,-12,28
-6,-11,28
6,1,17
-4,20,-8
-1,31,-24
-7,30,-25
-8,18,3
-14,4,27
-49,5,29
-80,11,28
-92,18,30
-75,24,41
-30,29,50
16,33,56
56,43,61
89,55,63
118,66,63
134,69,61
140,64,60
132,54,54
114,42,48
94,28,48
78,20,49
83,23,49
77,31,53
39,56,53
-3,75,60
-42,93,72
-60,100,79
-57,80,92
-47,23,108
-35,-19,116
-34,-35,113
-76,-39,92
-70,-44,79
-63,-28,78
-72,-23,109
-101,-23,120
-123,-22,67
-117,-34,21
-85,-39,8
-68,-37,31
-45,-37,53
-12,-24,60
29,-4,50
69,10,28
97,23,9
113,29,5
114,26,4
98,17,12
82,6,20
75,0,34
81,-13,48
71,-17,58
60,-13,70
45,-4,79
21,-1,75
-9,1,64
-37,10,63
-61,14,79
-70,9,81
-60,3,52
-25,3,20
-8,5,4
-23,12,-2
-1,12,2
29,3,11
43,-5,12
28,-6,14
-7,7,12
-37,28,6
-60,40,10
-61,40,23
-53,32,48
-30,17,64
-3,5,68
26,9,64
57,22,62
87,35,66
104,39,70
116,35,67
117,36,65
113,39,61
104,39,59
95,38,62
82,35,66
63,36,68
44,40,70
20,42,65
-12,37,62
-65,37,71
-114,36,94
-129,29,120
-90,19,117
-75,18,83
-72,21,55
-51,23,37
-24,28,37
-16,32,53
-16,21,87
-33,0,110
-68,-2,132
-61,2,152
-46,-19,159
-14,-47,120
33,-50,56
90,-15,-22
97,24,-29
115,27,12
110,7,58
94,-2,81
76,-2,89
61,-2,85
41,-1,83
26,-5,82
19,-11,84
-9,-13,73
-20,-7,55
-22,3,32
-20,9,21
-21,15,20
-22,17,16
-23,20,7
-19,19,-2
-7,13,-5
3,5,-6
-12,3,-15
-15,5,-18
-6,7,-16
9,2,-11
10,-3,-7
-12,2,-7
-44,24,-11
-70,46,-23
-72,49,-28
-58,36,-22
-35,20,-2
-3,15,13
29,23,19
55,37,26
80,47,37
94,50,41
99,44,49
92,37,55
77,30,55
60,25,59
52,17,62
48,17,66
42,18,66
31,23,66
24,33,69
16,44,78
3,56,86
-8,61,86
-20,64,84
-28,63,82
-22,55,80
-14,44,76
-41,32,67
-51,26,56
-68,26,48
-76,32,52
-81,33,65
-99,19,78
-112,1,89
-111,-20,87
-102,-35,72
-85,-41,51
-58,-37,31
-42,-33,21
-20,-21,36
11,-21,40
35,-31,33
57,-29,20
76,-14,6
85,-1,-3
78,3,-8
68,-2,-10
66,-15,-9
75,-18,-12
81,-14,-13
88,-2,-13
72,1,-3
46,3,4
-3,13,14
-42,22,18
-65,30,22
-58,20,32
-42,0,38
-69,-2,28
-79,12,5
-46,24,-5
-5,23,-3
25,16,5
21,9,7
-23,12,7
-69,35,13
-76,60,22
-48,64,35
-9,51,47
27,25,62
51,12,69
71,8,71
91,1,82
100,2,90
102,12,90
102,20,78
101,23,66
104,22,57
96,26,54
86,28,54
74,33,54
63,39,53
48,45,53
28,48,52
1,41,54
-24,28,47
-35,14,52
-27,5,72
-30,-2,94
-77,-10,101
-117,-8,98
-116,7,94
-85,29,107
-68,26,119
-79,12,116
-94,-3,98
-90,-15,75
-72,-19,56
-54,-13,50
-28,-1,57
-1,8,59
18,9,52
39,1,52
47,-4,46
55,-13,34
60,-19,14
64,-18,1
75,-22,-5
71,-23,-3
80,-16,0
75,-18,4
67,-21,5
51,-4,10
45,11,13
32,13,20
11,2,28
-17,-16,27
-26,-31,31
-41,-36,44
-66,-30,49
-67,-23,57
-43,-25,54
-16,-29,58
3,-25,52
-11,-4,34
-31,30,20
-53,58,4
-49,65,-13
-35,58,-14
-31,38,0
-26,18,16
-12,7,28
14,15,24
48,24,22
76,20,34
93,15,43
101,18,38
102,33,35
100,43,40
93,46,41
83,46,51
68,40,56
57,35,60
47,34,67
39,35,70
18,37,74
-6,32,82
-32,22,81
-54,12,75
-58,11,67
-76,19,61
-96,29,55
-91,28,55
-71,29,62
-51,36,83
-48,52,123
-49,61,129
-53,49,99
-46,26,71
-38,6,55
-30,-9,42
-19,-20,42
1,-20,53
28,-15,59
53,0,71
61,12,69
62,24,63
57,31,52
56,30,45
59,29,36
69,25,36
71,15,44
62,8,57
61,10,60
54,13,52
53,5,40
42,-3,27
18,-18,8
-8,-16,0
-29,5,1
-39,25,7
-55,35,3
-78,36,-10
-75,29,-4
-50,25,13
-21,25,30
-10,43,29
-15,62,22
-43,77,14
-66,77,9
-63,63,10
-41,47,20
-12,39,35
21,62,42
65,62,32
90,36,26
104,17,32
118,9,48
116,25,67
112,49,82
106,59,86
97,61,82
89,57,78
80,54,78
73,58,80
74,57,79
60,59,73
37,61,68
0,73,90
-33,83,119
-56,85,142
-53,82,150
-57,81,123
-89,80,99
-88,86,106
-76,99,125
-60,92,133
-53,72,117
-64,51,82
-72,31,52
-80,23,28
-71,26,31
-49,22,42
-10,-3,60
39,-18,70
79,-18,69
109,-11,67
121,-3,59
126,1,52
124,6,44
118,10,41
98,15,37
81,16,38
66,15,42
51,12,49
31,6,65
2,5,70
-35,10,62
-79,16,54
-116,22,61
-122,21,64
-97,9,59
-65,-2,38
-25,-2,25
-5,17,1
12,39,-7
45,54,1
57,61,16
54,62,27
48,57,40
12,49,44
-9,43,34
-16,37,30
-7,32,35
7,28,52
27,24,66
47,21,77
61,16,77
78,15,75
95,17,72
108,29,64
116,44,58
115,56,52
114,58,48
112,53,52
97,46,70
80,43,94
60,53,116
44,67,130
14,65,137
-25,49,133
-60,44,130
-56,50,127
-40,52,127
-56,57,122
-61,58,116
-54,55,107
-43,49,99
-29,40,89
-28,30,83
-27,17,69
-35,11,54
-45,3,41
-43,-4,37
-29,-12,40
-12,-19,46
18,-19,48
40,-17,54
55,-17,54
67,-11,46
82,5,47
88,20,48
80,29,46
69,29,51
59,22,65
50,19,81
36,20,87
31,20,79
18,16,63
-14,6,43
-32,-17,13
-44,-45,-17
-45,-56,-32
-44,-56,-30
-35,-48,-21
-30,-41,-12
-37,-31,-7
-32,-15,2
4,-3,14
22,6,18
23,13,21
6,27,22
-22,45,15
-47,59,7
-52,64,2
-48,55,3
-35,43,15
-17,31,24
11,31,28
41,42,31
67,54,35
90,62,38
108,64,39
118,65,41
116,63,41
103,62,42
85,58,46
76,52,56
65,49,64
56,53,67
45,60,65
37,63,64
19,64,60
-3,58,57
-26,52,52
-27,48,56
-14,45,59
-30,45,60
-80,42,56
-98,28,61
-96,19,66
-72,20,74
-65,20,80
-76,17,78
-91,2,67
-89,-15,54
-82,-22,44
-57,-29,39
-20,-34,43
15,-30,49
43,-15,58
66,7,62
84,23,60
92,26,53
88,20,41
82,13,30
75,9,18
70,9,8
66,12,0
55,14,-9
42,11,-7
31,3,-2
10,1,4
-18,3,8
-42,4,11
-54,0,14
-55,-12,17
-41,-26,16
-24,-35,19
-37,-28,13
-33,-13,12
-18,3,17
-5,15,20
-3,25,20
-14,36,17
-42,42,6
-59,37,-2
-57,26,1
-42,19,14
-28,17,27
-10,21,36
12,31,45
37,52,60
72,72,65
92,82,57
107,82,44
109,75,34
106,66,35
110,61,32
113,55,28
110,48,16
101,41,12
89,35,16
62,42,34
34,62,52
0,77,62
-31,85,65
-60,81,79
-69,68,99
-74,62,107
-79,56,113
-78,55,105
-60,61,93
-49,69,81
-59,71,73
-79,61,66
-86,41,63
-77,24,57
-64,8,54
-50,2,57
-30,-2,56
-3,-2,60
17,1,60
44,4,53
65,15,34
82,28,11
97,37,0
104,40,1
97,26,16
80,9,26
61,3,34
39,5,41
15,3,38
0,-1,33
-15,-13,30
-26,-19,25
-32,-23,14
-37,-22,5
-49,-22,1
-42,-30,-1
-24,-40,-4
-18,-34,-10
0,-15,-9
24,12,-11
37,35,-2
33,53,12
8,62,29
-27,65,37
-59,63,43
-74,61,55
-66,47,70
-33,30,82
5,22,86
39,26,83
65,38,76
86,50,65
99,56,57
101,58,53
96,58,50
83,57,46
69,52,42
60,46,44
53,45,49
48,46,55
40,47,60
31,48,64
19,49,68
8,48,66
-8,47,64
-19,43,62
-16,35,62
-52,34,57
-75,29,58
-84,29,58
-79,36,62
-77,43,71
-96,36,79
-124,21,80
-125,-4,75
-111,-24,67
-79,-40,60
-42,-51,51
10,-51,33
51,-33,23
74,-7,37
88,17,44
101,27,51
92,27,56
60,45,90
45,64,100
37,52,57
16,30,20
4,5,4
2,-6,2
4,-10,-5
17,-6,-6
15,3,-12
14,10,-22
5,8,-29
0,2,-28
0,-3,-17
-5,-5,-9
-6,5,-4
-4,12,-2
-4,18,-7
-1,12,0
4,5,20
-6,7,25
-22,21,18
-43,35,12
-60,44,10
-57,44,15
-40,44,20
-10,50,22
23,62,26
57,74,34
84,85,43
96,87,46
89,80,50
77,69,53
59,62,56
42,54,61
35,44,62
38,35,61
44,34,57
43,43,51
34,52,44
12,59,45
-9,56,39
-29,45,41
-36,35,56
-24,30,65
-23,27,68
-68,28,57
-78,29,52
-54,37,53
-27,44,46
-22,48,37
-52,48,31
-82,49,22
-90,55,23
-81,56,38
-73,45,64
-49,23,91
-13,5,112
21,-1,114
49,1,107
64,12,90
71,20,72
73,22,53
65,22,29
66,12,6
88,-4,-4
107,-14,-5
101,-14,3
66,-3,17
42,18,31
16,34,43
-14,46,45
-39,37,51
-58,16,55
-63,4,59
-56,1,63
-41,6,68
